Day,Amount Spent (USD),Result Type,Results,Reporting Starts,Reporting Ends
8/18/18,3.2,Website Registrations Completed,1,8/18/18,8/18/18
8/17/18,0.15,,,8/17/18,8/17/18
8/17/18,3.15,Website Registrations Completed,2,8/17/18,8/17/18
8/16/18,0.22,,,8/16/18,8/16/18
8/16/18,1.59,,,8/16/18,8/16/18
8/15/18,0.2,,,8/15/18,8/15/18
8/15/18,2.44,Website Registrations Completed,1,8/15/18,8/15/18
8/14/18,0.06,,,8/14/18,8/14/18
8/14/18,1.64,Website Registrations Completed,1,8/14/18,8/14/18
8/13/18,23.42,Website Registrations Completed,2,8/13/18,8/13/18
8/13/18,1.88,,,8/13/18,8/13/18
8/10/18,1.61,,,8/10/18,8/10/18
8/10/18,23.59,Website Registrations Completed,2,8/10/18,8/10/18
8/9/18,1.8,,,8/9/18,8/9/18
8/9/18,25.36,Website Registrations Completed,2,8/9/18,8/9/18
8/8/18,0.07,,,8/8/18,8/8/18
8/8/18,0.52,Website Registrations Completed,1,8/8/18,8/8/18
8/7/18,0.27,,,8/7/18,8/7/18
8/7/18,5.26,Website Registrations Completed,2,8/7/18,8/7/18
8/6/18,0.39,Website Registrations Completed,1,8/6/18,8/6/18
8/6/18,6.76,Website Registrations Completed,3,8/6/18,8/6/18
6/25/18,0.31,,,6/25/18,6/25/18
6/25/18,2.73,,,6/25/18,6/25/18
6/24/18,9.09,,,6/24/18,6/24/18
6/24/18,0.65,,,6/24/18,6/24/18
6/23/18,0.72,,,6/23/18,6/23/18
6/23/18,9.44,,,6/23/18,6/23/18
6/22/18,0.75,,,6/22/18,6/22/18
6/22/18,9.08,,,6/22/18,6/22/18
6/21/18,2.72,,,6/21/18,6/21/18
6/21/18,8.04,,,6/21/18,6/21/18
6/20/18,3.39,,,6/20/18,6/20/18
6/20/18,11.2,,,6/20/18,6/20/18
6/19/18,1.1,,,6/19/18,6/19/18
6/19/18,4.35,,,6/19/18,6/19/18
6/15/18,9.5,,,6/15/18,6/15/18
6/15/18,2.94,,,6/15/18,6/15/18
6/14/18,18.22,,,6/14/18,6/14/18
6/14/18,7.16,Website Registrations Completed,1,6/14/18,6/14/18
6/13/18,12.43,,,6/13/18,6/13/18
6/13/18,33,Website Registrations Completed,4,6/13/18,6/13/18
6/12/18,7.18,Website Registrations Completed,3,6/12/18,6/12/18
6/12/18,34.97,Website Registrations Completed,8,6/12/18,6/12/18
6/9/18,1.6,,,6/9/18,6/9/18
6/9/18,23.28,Website Registrations Completed,3,6/9/18,6/9/18
6/8/18,7.44,,,6/8/18,6/8/18
6/8/18,61.35,Website Registrations Completed,4,6/8/18,6/8/18
6/7/18,26.99,Website Registrations Completed,11,6/7/18,6/7/18
6/7/18,1.24,,,6/7/18,6/7/18
6/6/18,5.25,Website Registrations Completed,2,6/6/18,6/6/18
