Age,Amount Spent (USD),Reach
55-64,0.029962217,7
45-54,2.167267003,820
55-64,0.029975942,13
45-54,2.887682438,1061
35-44,4.63627907,2245
25-34,4.156663994,1459
18-24,0.749398557,284
25-34,6.66,2545
18-24,1.19,396
55-64,0.17,24
35-44,7.37,2917
45-54,5.05,1410
55-64,0.158257713,32
45-54,4.500453721,1272
35-44,6.043466425,2552
25-34,5.093920145,2235
18-24,0.553901996,289
35-44,3.21,1936
25-34,3.01,1123
55-64,0.1,22
45-54,2.09,982
45-54,0.07,21
35-44,0.22,78
25-34,0.22,112
45-54,0.11,107
35-44,0.1,238
35-44,0.65,1338
45-54,0.36,609
55-64,0,4
65+,0.01,9
55-64,0.05,48
45-54,0.55,941
35-44,0.8,1851
25-34,0.16,749
18-24,0.07,278
35-44,0.58,1881
45-54,0.42,917
55-64,0,1
55-64,0,4
45-54,0.47,890
35-44,0.55,1680
45-54,0.55,747
35-44,0.66,1576
25-34,0,1
55-64,0,6
45-54,0.38,902
35-44,0.79,2098
45-54,0.47,262
55-64,0.01,2
35-44,0.68,501
